std_sample_name	cellosaurus_id	gse_id	organism	bio_rep	antibody_target	restriction_enzyme	sample_name
mESC_Degraded.GSE99519.Mus_Musculus.MboI.b2	CVCL_C865	GSE99519	Mus_Musculus	2	H3K27ac	MboI	mESC_Degraded
mESC_Degraded.GSE99519.Mus_Musculus.MboI.b3	CVCL_C865	GSE99519	Mus_Musculus	3	H3K27ac	MboI	mESC_Degraded
mESC_RYBP_KO.GSE147919.Mus_Musculus.MboI.b1		GSE147919	Mus_Musculus	1	CTCF	MboI	mESC_RYBP_KO
mESC_RYBP_KO.GSE147919.Mus_Musculus.MboI.b2		GSE147919	Mus_Musculus	2	CTCF	MboI	mESC_RYBP_KO
mESC_RYBP_WT.GSE147919.Mus_Musculus.MboI.b1		GSE147919	Mus_Musculus	1	CTCF	MboI	mESC_RYBP_WT
mESC_RYBP_WT.GSE147919.Mus_Musculus.MboI.b2		GSE147919	Mus_Musculus	2	CTCF	MboI	mESC_RYBP_WT
mESC_TR.GSE99519.Mus_Musculus.MboI.b1	CVCL_C865	GSE99519	Mus_Musculus	1	H3K27ac	MboI	mESC_TR
mESC_TR.GSE99519.Mus_Musculus.MboI.b2	CVCL_C865	GSE99519	Mus_Musculus	2	H3K27ac	MboI	mESC_TR
mESC_UT.GSE99519.Mus_Musculus.MboI.b1	CVCL_C865	GSE99519	Mus_Musculus	1	H3K27ac	MboI	mESC_UT
mESC_UT.GSE99519.Mus_Musculus.MboI.b2	CVCL_C865	GSE99519	Mus_Musculus	2	H3K27ac	MboI	mESC_UT
mESC_UT.GSE99519.Mus_Musculus.MboI.b3	CVCL_C865	GSE99519	Mus_Musculus	3	H3K27ac	MboI	mESC_UT
mESC_WO.GSE99519.Mus_Musculus.MboI.b1	CVCL_C865	GSE99519	Mus_Musculus	1	H3K27ac	MboI	mESC_WO
mESC_WO.GSE99519.Mus_Musculus.MboI.b2	CVCL_C865	GSE99519	Mus_Musculus	2	H3K27ac	MboI	mESC_WO
mESC_WO.GSE99519.Mus_Musculus.MboI.b3	CVCL_C865	GSE99519	Mus_Musculus	3	H3K27ac	MboI	mESC_WO
mESC_WT.GSE147919.Mus_Musculus.MboI.b1	Not Available	GSE147919	Mus_Musculus	1	RYBP	MboI	mESC_WT
