MEF_B6_0m.GSE193079.Mus_Musculus.H3K27ac.b2	MEF_B6_0m.GSE193079.Mus_Musculus.H3K27ac.b3	MEF_B6_0m.GSE193079.Mus_Musculus.H3K27ac
MEF_B6_90m.GSE193079.Mus_Musculus.H3K27ac.b1	MEF_B6_90m.GSE193079.Mus_Musculus.H3K27ac.b2	MEF_B6_90m.GSE193079.Mus_Musculus.H3K27ac
MEF_B6_90m.GSE193079.Mus_Musculus.H3K27ac.b1	MEF_B6_90m.GSE193079.Mus_Musculus.H3K27ac.b3	MEF_B6_90m.GSE193079.Mus_Musculus.H3K27ac
MEF_B6_90m.GSE193079.Mus_Musculus.H3K27ac.b2	MEF_B6_90m.GSE193079.Mus_Musculus.H3K27ac.b3	MEF_B6_90m.GSE193079.Mus_Musculus.H3K27ac
Myogenic_Progenitors_D6.GSE126362.Mus_Musculus.Pax3.b1	Myogenic_Progenitors_D6.GSE126362.Mus_Musculus.Pax3.b2	Myogenic_Progenitors_D6.GSE126362.Mus_Musculus.Pax3
NCC.GSE153884.Mus_Musculus.CTCF.b1	NCC.GSE153884.Mus_Musculus.CTCF.b2	NCC.GSE153884.Mus_Musculus.CTCF
NCC.GSE153884.Mus_Musculus.FGFR1.b1	NCC.GSE153884.Mus_Musculus.FGFR1.b2	NCC.GSE153884.Mus_Musculus.FGFR1
NIH3T3.GSE135296.Mus_Musculus.H3K27ac.b1	NIH3T3.GSE135296.Mus_Musculus.H3K27ac.b2	NIH3T3.GSE135296.Mus_Musculus.H3K27ac
NOD_CD4_CD8.GSE141847.Mus_Musculus.H3K27ac.b1	NOD_CD4_CD8.GSE141847.Mus_Musculus.H3K27ac.b2	NOD_CD4_CD8.GSE141847.Mus_Musculus.H3K27ac
NOD_CD4_CD8.GSE141847.Mus_Musculus.SMC1A.b1	NOD_CD4_CD8.GSE141847.Mus_Musculus.SMC1A.b2	NOD_CD4_CD8.GSE141847.Mus_Musculus.SMC1A
OPC.GSE157666.Mus_Musculus.H3K27ac.b1	OPC.GSE157666.Mus_Musculus.H3K27ac.b2	OPC.GSE157666.Mus_Musculus.H3K27ac
OPC.GSE157666.Mus_Musculus.H3K27ac.b1	OPC.GSE157666.Mus_Musculus.H3K27ac.b3	OPC.GSE157666.Mus_Musculus.H3K27ac
OPC.GSE157666.Mus_Musculus.H3K27ac.b2	OPC.GSE157666.Mus_Musculus.H3K27ac.b3	OPC.GSE157666.Mus_Musculus.H3K27ac
Paraxial_Mesoderm_Precursors_D1.GSE126362.Mus_Musculus.Pax3.b1	Paraxial_Mesoderm_Precursors_D1.GSE126362.Mus_Musculus.Pax3.b2	Paraxial_Mesoderm_Precursors_D1.GSE126362.Mus_Musculus.Pax3
TKO_0H.GSE113339.Mus_Musculus.H3K27ac.b1	TKO_0H.GSE113339.Mus_Musculus.H3K27ac.b2	TKO_0H.GSE113339.Mus_Musculus.H3K27ac
TKO_0H.GSE113339.Mus_Musculus.H3K27ac.b1	TKO_0H.GSE113339.Mus_Musculus.H3K27ac.b3	TKO_0H.GSE113339.Mus_Musculus.H3K27ac
TKO_0H.GSE113339.Mus_Musculus.H3K27ac.b2	TKO_0H.GSE113339.Mus_Musculus.H3K27ac.b3	TKO_0H.GSE113339.Mus_Musculus.H3K27ac
