CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD4_Naive_1800-RH-1
CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD4_Naive_1800-RH-1
CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD4_Naive_1800-RH-1
CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD4_Naive_1814-RH-1
CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD4_Naive_1814-RH-1
CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD4_Naive_1814-RH-1
CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD4_Naive_1815-RH-1
CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD4_Naive_1815-RH-1
CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD4_Naive_1815-RH-1
CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD4_Naive_1816-RH-1
CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD4_Naive_1816-RH-1
CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD4_Naive_1816-RH-1
CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD4_Naive_1829-RH-1
CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD4_Naive_1829-RH-1
CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b3		phs001703v3p1	Homo_Sapiens	3	H3K27ac	MboI	CD4_Naive_1829-RH-1
CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b1		phs001703v3p1	Homo_Sapiens	1	H3K27ac	MboI	CD4_Naive_1831-RH-1
CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.MboI.b2		phs001703v3p1	Homo_Sapiens	2	H3K27ac	MboI	CD4_Naive_1831-RH-1
