std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
BC3.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040941	SRR10008148	Homo_Sapiens	1	2	H3K27ac	MboI	BC3
BCBL1.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040942	SRR10008149	Homo_Sapiens	1	1	H3K27ac	MboI	BCBL1
BCBL1.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040942	SRR10008150	Homo_Sapiens	1	2	H3K27ac	MboI	BCBL1
BC1.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040943	SRR10008151	Homo_Sapiens	1	1	H3K27ac	MboI	BC1
BC1.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040943	SRR10008152	Homo_Sapiens	1	2	H3K27ac	MboI	BC1
JSC.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040944	SRR10008153	Homo_Sapiens	1	1	H3K27ac	MboI	JSC
JSC.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040944	SRR10008154	Homo_Sapiens	1	2	H3K27ac	MboI	JSC
HAVIC.GSE154512.Homo_Sapiens.H3K27ac.b1	GSE154512	GSM4672364	SRR12231664	Homo_Sapiens	1	1	H3K27ac	MboI	HAVIC
Ramos.GSE179755.Homo_Sapiens.H3K27ac.b1	GSE179755	GSM5431866	SRR15075154	Homo_Sapiens	1	1	H3K27ac	MboI	Ramos
Ramos.GSE179755.Homo_Sapiens.H3K27ac.b1	GSE179755	GSM5431868	SRR15075155	Homo_Sapiens	1	2	H3K27ac	MboI	Ramos
EBNA2_Plus_Ramos.GSE179755.Homo_Sapiens.H3K27ac.b1	GSE179755	GSM5431869	SRR15075156	Homo_Sapiens	1	1	H3K27ac	MboI	EBNA2_Plus_Ramos
EBNA2_Plus_Ramos.GSE179755.Homo_Sapiens.H3K27ac.b1	GSE179755	GSM5431870	SRR15075157	Homo_Sapiens	1	2	H3K27ac	MboI	EBNA2_Plus_Ramos
EBNA2_Neg_Ramos.GSE179755.Homo_Sapiens.H3K27ac.b1	GSE179755	GSM5431871	SRR15075158	Homo_Sapiens	1	1	H3K27ac	MboI	EBNA2_Neg_Ramos
EBNA2_Neg_Ramos.GSE179755.Homo_Sapiens.H3K27ac.b1	GSE179755	GSM5431873	SRR15075159	Homo_Sapiens	1	2	H3K27ac	MboI	EBNA2_Neg_Ramos
lgs000379.GSE116193.Homo_Sapiens.H3K27ac.b1	GSE116193	GSM3212919	SRR7417508	Homo_Sapiens	1	1	H3K27ac	MboI	lgs000379
lgs101645.GSE116193.Homo_Sapiens.H3K27ac.b1	GSE116193	GSM3212920	SRR7417509	Homo_Sapiens	1	1	H3K27ac	MboI	lgs101645
lgs102580.GSE116193.Homo_Sapiens.H3K27ac.b1	GSE116193	GSM3212921	SRR7417510	Homo_Sapiens	1	1	H3K27ac	MboI	lgs102580
lgs102943.GSE116193.Homo_Sapiens.H3K27ac.b1	GSE116193	GSM3212922	SRR7417511	Homo_Sapiens	1	1	H3K27ac	MboI	lgs102943
lgs301315.GSE116193.Homo_Sapiens.H3K27ac.b1	GSE116193	GSM3212923	SRR7417512	Homo_Sapiens	1	1	H3K27ac	MboI	lgs301315
lgs301283.GSE116193.Homo_Sapiens.H3K27ac.b1	GSE116193	GSM3212924	SRR7417513	Homo_Sapiens	1	1	H3K27ac	MboI	lgs301283
lgs000379.GSE116193.Homo_Sapiens.CTCF.b1	GSE116193	GSM3212925	SRR7417514	Homo_Sapiens	1	1	CTCF	MboI	lgs000379
lgs101645.GSE116193.Homo_Sapiens.CTCF.b1	GSE116193	GSM3212926	SRR7417515	Homo_Sapiens	1	1	CTCF	MboI	lgs101645
lgs102580.GSE116193.Homo_Sapiens.CTCF.b1	GSE116193	GSM3212927	SRR7417516	Homo_Sapiens	1	1	CTCF	MboI	lgs102580
lgs102943.GSE116193.Homo_Sapiens.CTCF.b1	GSE116193	GSM3212928	SRR7417517	Homo_Sapiens	1	1	CTCF	MboI	lgs102943
lgs301315.GSE116193.Homo_Sapiens.CTCF.b1	GSE116193	GSM3212929	SRR7417518	Homo_Sapiens	1	1	CTCF	MboI	lgs301315
lgs301283.GSE116193.Homo_Sapiens.CTCF.b1	GSE116193	GSM3212930	SRR7417519	Homo_Sapiens	1	1	CTCF	MboI	lgs301283
