std_sample_name	gse_id	organism	bio_rep	antibody_target	restriction_enzyme	sample_name
A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siSA2-Dh8-72h-D347-D362
cbCD34+-HSPC-SJALL068279-D1.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJALL068279-D1
cbCD34+-HSPC-SJAUL068292-D1.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJAUL068292-D1
cbCD34+-HSPC-SJMPAL011914-D1.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJMPAL011914-D1
cbCD34+-HSPC-SJTALL005006-D2.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJTALL005006-D2
cbCD34+-HSPC-SJMPAL011911-D1.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJMPAL011911-D1
DND41.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	DND41
DND41.GSE165207.Homo_Sapiens.H3K27ac.b2	GSE165207	Homo_Sapiens	2	H3K27ac	Arima	DND41
Jurkat.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	Jurkat
CD34+-Cord-Blood.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	CD34+-Cord-Blood
GM12878.GSE80820.Homo_Sapiens.SMC1A.b1	GSE80820	Homo_Sapiens	1	SMC1A	MboI	GM12878
GM12878.GSE80820.Homo_Sapiens.SMC1A.b2	GSE80820	Homo_Sapiens	2	SMC1A	MboI	GM12878
